"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1963229654732439949","Sat Sep 06 09:29:18 +0000 2025","0","@SoundOfYogi @lantip @cureshanti0118 Bukan kata-katanya sih dia selama demo gaada fokusnya ke DPR cuman pengen ngelampiasin karna pilihannya gk menang sama memprovokasi sampe bawa2 etnis tapi bisa2nya jadi kebanggaan dan simbol terus disamakan RA Kartini ","1964259603656376601","","SoundOfYogi","in","","0","1","0","https://x.com/undefined/status/1964259603656376601","1227286450166611968",
"1963625446693896283","Sat Sep 06 09:28:49 +0000 2025","1","@MarfinFaths @detikcom Berdasarkan analisis dari berita detikcom dan sumber lain konten TikTok Figha Lesmana mengajak pelajar demo di depan DPR tuntut bubarkan DPR &amp; copot Sri Mulyani. Polisi sebut itu hasutan kerusuhan tapi tak ada penyebutan eksplisit ajakan makar atau terorisme dalam","1964259481963155776","","MarfinFaths","in","","0","0","0","https://x.com/undefined/status/1964259481963155776","1720665183188922368",
"1964002641228255663","Sat Sep 06 09:20:29 +0000 2025","1","@Disclaimerrrrr DPR bukan perwakilan rakyat tp perwakilan partai dh jelas RUU perampasan aset korupsi TDK disah kan. Ini akan menyulut demo yg lebih besar lagi","1964257383666036968","","Disclaimerrrrr","in","","0","0","0","https://x.com/undefined/status/1964257383666036968","1021403502646460418",
"1964255385625219448","Sat Sep 06 09:12:32 +0000 2025","0","apa sih ngemtoooodddd. ga kebaca anjj ketutupan tl cewe cewe cantik dan hemm apa yes namanya itu demo atau dpr gitu sialan https://t.co/0JJ7y6Fqwt","1964255385625219448","https://pbs.twimg.com/media/G0JvnHWX0AAiO6k.png","","in","","0","1","0","https://x.com/undefined/status/1964255385625219448","2926653661",
"1964159568113783213","Sat Sep 06 09:09:49 +0000 2025","21","@KemenperinRI Deeskalasi ala influencer rangkum 17+8 muncul karena kondisi makin gak kondusif: rakyat demo DPR kabur ke luar negeri polisi bunuhin warga. Andai DPR gak kabur polisi jaga ketertiban masih perlu nggak deeskalasi setelah 10 korban ini?","1964254701391634700","","KemenperinRI","in","","0","1","1","https://x.com/undefined/status/1964254701391634700","1351174495",
"1964254328405020875","Sat Sep 06 09:08:20 +0000 2025","1","ParTai @Official_NasDem lagi! yang ngorok di gedung dpr kemarin sampai sekarang belum muncul Pakai backsound sedih anggota dpr Cindy Monika minta maaf Sebelumya Viral! Anggota DPR Cindy Monica Disentil Jerome Polin Lantaran ke Luar Negeri saat Masyarakat Demo https://t.co/M4KbXuKOm5","1964254328405020875","https://pbs.twimg.com/amplify_video_thumb/1964252340178812928/img/PM38gW-J1fYv8gME.jpg","","in","","0","1","0","https://x.com/undefined/status/1964254328405020875","1952220708819570688",
"1964254055326216372","Sat Sep 06 09:07:15 +0000 2025","0","Maaf kalo pertanyaanku bodoh tapi kenapa DPR tidak meramu sendiri berdasarkan suara rakyat yang demo di lapangan dan di sosmed? Kan mereka katanya wakil rakyat?","1964254055326216372","","","in","","0","0","0","https://x.com/undefined/status/1964254055326216372","1689773959590682624",
"1964191902355354026","Sat Sep 06 09:07:06 +0000 2025","0","@RheaZahiya @txtdrimedia Demo dan tuntutan rakyat kemarin mrpkan Momentum utk me Reset DPR Lembaga ek sekutif dan Yudikatif sekalian.","1964254019305562507","","RheaZahiya","in","","0","0","0","https://x.com/undefined/status/1964254019305562507","297773772",
"1963582963808882860","Sat Sep 06 09:03:33 +0000 2025","2","@Pixie_Parasols Lu pas demo ga turun giliran ada yang ngambil inisiatif lu bacot sambil duduk nyaman disofa lu emang lu pikir mereka harus sempurna tuntutannya?? jika begitu ngapain DPR masih ada sekalian lu aja yang duduk di DPR ga jelas lu","1964253124228518153","","Pixie_Parasols","in","","0","1","0","https://x.com/undefined/status/1964253124228518153","1764219725620584448",
"1964253039994306944","Sat Sep 06 09:03:13 +0000 2025","1","[SALAH] 10 Brimob Tewas Dalam Pengamanan Demo Akun tiktok yongkaibluee pada Senin (01/09/2025) mengunggah Video [arsip] disertai takarir: Ojol dilindes koar-koar Brimob tewas 10 orang pura-pura buta sebenarnya yang dilawan DPR apa POLISI? https://t.co/WnzPuMQ9B0","1964253039994306944","https://pbs.twimg.com/media/G0JtrwvWEAEgpY8.jpg","","in","","0","0","0","https://x.com/undefined/status/1964253039994306944","1537989210724270080",
"1964252886768243040","Sat Sep 06 09:02:36 +0000 2025","1","DEMO BUBARKAN DPR SAMA DENGAN INGIN MENGHAPUS SILA KE4 PANCASILA DALAM SILA KE4 PANCASILA LEGISLATIF ( DPR ) HARUS ADA.","1964252886768243040","","","in","","0","0","2","https://x.com/undefined/status/1964252886768243040","1473390005347250179",
"1964252747785457885","Sat Sep 06 09:02:03 +0000 2025","3","Pasca demo besar ada hasil nyata: DPR resmi memangkas berbagai tunjangan. Salah satunya tunjangan rumah Rp 50 juta/bulan sudah dicabut mulai 31 Agustus. https://t.co/UzEeIS0z6J","1964252747785457885","https://pbs.twimg.com/media/G0JtdWjWgAAjKne.jpg","","in","","0","4","2","https://x.com/undefined/status/1964252747785457885","960668225171111937",
"1964251969603981740","Sat Sep 06 08:58:58 +0000 2025","0","DPR Tegaskan Anggota yang Dinonaktifkan Parpol Tak Lagi Terima Gaji dan Tunjangan... #dpr #nonaktif #gaji #tunjangan #parpol #Demo https://t.co/yj7Ampi9JF","1964251969603981740","https://pbs.twimg.com/ext_tw_video_thumb/1964251573510348800/pu/img/6y0T9bly2pkgjq8Q.jpg","","in","","0","0","0","https://x.com/undefined/status/1964251969603981740","1577242602079801344",
